,Names,Gender,Hair_Color,Tags,Anime,Manga
54747,Mulu-Elu GALU-GU,Male,Grey Hair,"['Alien', 'Dark-skinned', 'Facial Hair', 'Military']","['Godzilla Movie 1: Planet of the Monsters', 'Godzilla Movie 2: City on the Edge of Battle', 'Godzilla Movie 3: The Planet Eater']",
54748,Jeeves,Male,Grey Hair,"['Butler', 'Elderly']",['Clean Freak! Aoyama-kun'],
54749,Miku HACHUNE,Female,Turquoise Hair,['Pigtails'],"['Hachune Miku’s Everyday Vocaloid Paradise Manga', 'Hatsune Miku: Unofficial Hatsune Mix']",
54750,Hyonggi GANG,Male,Blonde Hair,"['Goggles', 'Hat']","[""Bastard's Dead Man""]",
54751,Kirina HIURA,Male,Blue Hair,"['Athlete', 'Middle School Student', 'Soccer Player', 'Teenager']","['Inazuma Eleven: Ares no Tenbin', 'Inazuma Eleven: Orion no Kokuin']",
54752,Norika UMIHARA,Female,Green Hair,"['Athlete', 'Soccer Player']","['Inazuma Eleven: Ares no Tenbin', 'Inazuma Eleven: Orion no Kokuin']",
54753,Goddess,Female,Blonde Hair,"['Big Ego', 'Braids', 'Cruel', 'Deity', 'Rapunzel Hair']",['Tsukimichi: Moonlit Fantasy'],"['Tsuki ga Michibiku Isekai Douchuu (Light Novel)', 'Tsukimichi: Moonlit Fantasy']"
54754,Suika AKAMATSU,Female,Green Hair,['Keijo!!!!!!!!'],['Keijo!!!!!!!!'],
54755,Yang YANG,Female,,['Doridosim'],,
54756,Hikari YUUKI,Female,Pink Hair,"['Inanimate Object', 'Shapeshifter']","['Kujibiki Tokushou: Musou Harem-ken', 'Kujibiki Tokushou: Musou Harem-ken (Light Novel)']",
54757,Petra's Father,Male,Brown Hair,['Adult'],['Attack on Titan'],
54758,Sousuke KOJIKO,Male,Brown Hair,"['High School Student', 'Teenager']",['Handa-kun'],['Handa-kun']
54759,Merower,Female,,['Elegant Youkai Apartment Life'],,
54760,Hiroko YAMAGUCHI,Female,Purple Hair,"['High School Student', 'Teenager']","[""King's Game""]","[""King's Game""]"
54761,Mami SHIROKAWA,Female,Blonde Hair,"['High School Student', 'Teenager']","[""King's Game""]","[""King's Game""]"
54762,D'Artagnyan,Female,Brown Hair,"['Animal Ears', 'Idol', 'Monster', 'Rosy Cheeks', 'Snaggletooth']","['Monster Strike: A Rhapsody Called Lucy -The Very First Song-', ""MSonic! D'Artagnyan's Rise to Fame""]",
54763,Ai,Female,,['Child'],['Food Wars! The Second Plate'],['Food Wars! Shokugeki no Souma']
54764,Sayumi,Female,Multicolored Hair,"['Cook', 'Eternal Optimist', 'Face Markings', 'Rosy Cheeks']",['Urahara'],
54765,Joelle Davidovich POMPONETTE,Female,Orange Hair,['Pigtails'],"['CIEL: Mado wo Akete', 'Pompo: The Cinéphile']",['Pompo: The Cinéphile']
54766,Tsubaki AKABANE,Female,Purple Hair,"['High School Student', 'Student Council']",['Anime-Gataris'],
